timestamp,odometer (miles),latitude,longitude,location,distance (m)
2019-04-06T13:58:39Z,168497,35.2682006,-86.8894117,238.848,,199.50339109829554
2019-04-06T13:58:45Z,168498,35.2698728,-86.8900206,230.242,,193.81721155462762
2019-04-06T13:58:51Z,168498,35.2716357,-86.8901208,226.74,,195.83660263315747
2019-04-06T13:58:56Z,168498,35.2730674,-86.889829,228.591,,161.06066904505462
2019-04-06T13:59:02Z,168498,35.274719,-86.8890712,230.674,,195.79797892035583
2019-04-06T13:59:08Z,168498,35.2762637,-86.8880482,234.125,,195.0582565480007
2019-04-06T13:59:14Z,168498,35.2778502,-86.8871084,237.244,,195.71563907117962
2019-04-06T13:59:20Z,168498,35.2795334,-86.8863867,240.078,,197.97790173595982
2019-04-06T13:59:25Z,168498,35.2809851,-86.8859814,240.907,,165.2350480559042
2019-04-06T13:59:31Z,168498,35.2827312,-86.8856254,241.106,,196.41847524039807
2019-04-06T13:59:36Z,168499,35.2842052,-86.8853462,233.971,,165.6546913310737
2019-04-06T13:59:42Z,168499,35.2859291,-86.8850069,230.548,,193.77143207168223
2019-04-06T13:59:48Z,168499,35.2876766,-86.8846712,225.313,,196.34500485055392
2019-04-06T13:59:54Z,168499,35.2894306,-86.8843362,220.942,,197.02606091316358
2019-04-06T14:00:00Z,168499,35.291157,-86.8839807,223.319,,194.2690072088025
2019-04-06T14:00:05Z,168499,35.2926106,-86.8836981,226.085,,163.3360738676659
2019-04-06T14:00:11Z,168499,35.29435,-86.883354,228.933,,195.52893060654372
2019-04-06T14:00:17Z,168499,35.2960956,-86.8830161,234.492,,196.17690440820053
2019-04-06T14:00:22Z,168499,35.2975621,-86.8827218,236.351,"I 65, Brick Church, Cornersville, Giles County, Tennessee, 37047, USA",164.9062846083526
2019-04-06T14:00:28Z,168500,35.2993188,-86.8824737,238.616,,196.2213558457772
2019-04-06T14:00:34Z,168500,35.3010822,-86.8823672,240.895,,195.90260641678572
2019-04-06T14:00:39Z,168500,35.3025571,-86.8823315,241.909,,163.67597935346748
2019-04-06T14:00:45Z,168500,35.3043146,-86.8822996,244.04,,195.0285133236738
2019-04-06T14:00:50Z,168500,35.3057893,-86.8822504,244.56,,163.680603343896
2019-04-06T14:00:56Z,168500,35.3075576,-86.8821975,244.224,,196.25297084737306
2019-04-06T14:01:02Z,168500,35.3093441,-86.8821507,241.481,,198.27767692482283
2019-04-06T14:01:08Z,168500,35.3111082,-86.8821,240.38,,195.78511663650065
2019-04-06T14:01:14Z,168501,35.312867,-86.8820528,233.944,,195.2929065305068
2019-04-06T14:01:19Z,168501,35.31435,-86.8820172,230.657,,164.60408019108817
2019-04-06T14:01:24Z,168501,35.3158277,-86.8819726,228.13,,164.02096650154672
2019-04-06T14:01:30Z,168501,35.317595,-86.881931,226.211,,196.12842257525048
2019-04-06T14:01:36Z,168501,35.3193434,-86.881871,224.093,,194.07385256036713
2019-04-06T14:01:41Z,168501,35.3208066,-86.8817557,226.786,,162.7031007499723
2019-04-06T14:01:46Z,168501,35.3222708,-86.8816168,227.633,,162.9460936484541
2019-04-06T14:01:52Z,168501,35.3240482,-86.881469,227.468,,197.66086543940932
2019-04-06T14:01:57Z,168501,35.3255235,-86.8813472,228.772,,164.0647230349331
2019-04-06T14:02:03Z,168502,35.327288,-86.8812182,229.696,,196.12551246021033
2019-04-06T14:02:08Z,168502,35.3287402,-86.8811043,232.357,,161.47691325284256
2019-04-06T14:02:14Z,168502,35.3305244,-86.8809682,237.617,"I 65, Cornersville, Marshall County, Tennessee, 37047, USA",198.41441352641888
2019-04-06T14:02:20Z,168502,35.3322723,-86.8807613,241.612,,194.88216778396978
2019-04-06T14:02:26Z,168502,35.3340032,-86.8803399,242.602,,195.83200793999234
2019-04-06T14:02:32Z,168502,35.3357254,-86.8797376,244.398,,198.77966746039294
2019-04-06T14:02:37Z,168502,35.337126,-86.8791904,243.41,,163.1702040089251
2019-04-06T14:02:43Z,168502,35.3388099,-86.8785391,240.691,,196.00799031515538
2019-04-06T14:02:49Z,168502,35.3405213,-86.8781346,236.346,,193.4585170166768
2019-04-06T14:02:55Z,168503,35.3422912,-86.878099,236.614,,196.3989571762064
2019-04-06T14:03:01Z,168503,35.3440315,-86.8784059,238.385,,195.10134458852593
2019-04-06T14:03:06Z,168503,35.3454346,-86.8789365,239.451,,162.9804339312905
2019-04-06T14:03:11Z,168503,35.3467759,-86.8796986,243.008,,164.1927849882992
2019-04-06T14:03:16Z,168503,35.3480024,-86.8807059,249.457,,164.14773573863667
2019-04-06T14:03:22Z,168503,35.349419,-86.8819723,254.251,,194.8820359534077
2019-04-06T14:03:27Z,168503,35.3506475,-86.8829405,259.406,,162.33055879598155
2019-04-06T14:03:33Z,168503,35.3522891,-86.8837734,267.386,,197.40839420329556
2019-04-06T14:03:38Z,168503,35.3537402,-86.8840923,271.95,,163.654436858638
2019-04-06T14:03:44Z,168504,35.3555021,-86.8842845,278.178,,196.3639974604262
2019-04-06T14:03:50Z,168504,35.3572878,-86.8844905,279.954,,199.01768990275573
2019-04-06T14:03:55Z,168504,35.3588183,-86.8846574,274.694,,170.56937883771698
2019-04-06T14:04:01Z,168504,35.3606982,-86.8848682,265.792,,209.64568393823959
2019-04-06T14:04:07Z,168504,35.362568,-86.8850437,256.33,"I 65, New Town, Cornersville, Marshall County, Tennessee, 37047, USA",208.28494624214454
2019-04-06T14:04:12Z,168504,35.3641031,-86.8852146,247.361,,171.26363888110205
2019-04-06T14:04:18Z,168504,35.3658844,-86.8854033,246.279,,198.38368157276048
2019-04-06T14:04:24Z,168504,35.3676507,-86.8855728,243.706,,196.59511544462697
2019-04-06T14:04:29Z,168505,35.369126,-86.885489,241.149,,163.88386010227651
2019-04-06T14:04:35Z,168505,35.3708121,-86.88493,245.39,,193.89687702784911
2019-04-06T14:04:41Z,168505,35.3724016,-86.8839838,248.605,,196.23022129915523
2019-04-06T14:04:46Z,168505,35.3737236,-86.8832195,252.942,,162.34986677166575
2019-04-06T14:04:52Z,168505,35.3754657,-86.8827898,256.085,,197.219188842779
2019-04-06T14:04:57Z,168505,35.3769322,-86.882811,260.969,,162.79576949911225
2019-04-06T14:05:03Z,168505,35.3786607,-86.8828642,265.29,,191.8902734579429
2019-04-06T14:05:08Z,168505,35.3801226,-86.8829303,269.783,,162.374369806819
2019-04-06T14:05:14Z,168505,35.3818892,-86.8829723,276.108,,196.14753319599635
2019-04-06T14:05:20Z,168506,35.3836272,-86.8826128,284.174,,195.74888010707022
2019-04-06T14:05:25Z,168506,35.385009,-86.8819663,288.865,,164.24996534628298
2019-04-06T14:05:31Z,168506,35.3866146,-86.8810859,298.35,,195.5122484145885
2019-04-06T14:05:36Z,168506,35.3879614,-86.8803519,306.953,,163.86432521478073
2019-04-06T14:05:41Z,168506,35.3892928,-86.8796309,310.723,,161.64078174070522
2019-04-06T14:05:47Z,168506,35.3909609,-86.8788873,314.572,,197.0643113470972
2019-04-06T14:05:53Z,168506,35.3927336,-86.8785824,315.351,,198.62957675680659
2019-04-06T14:05:59Z,168506,35.3945013,-86.8787482,313.433,"2039, Nick Poarch Rd, Cornersville, Marshall County, Tennessee, 37047, USA",196.71907095550242
2019-04-06T14:06:05Z,168506,35.3962297,-86.879169,312.094,,195.54977111287533
2019-04-06T14:06:10Z,168507,35.3976972,-86.8795318,310.878,,166.1309562722801
2019-04-06T14:06:16Z,168507,35.3994457,-86.8799625,304.837,,198.00047696328488
2019-04-06T14:06:22Z,168507,35.4011867,-86.8804169,300.455,,197.57966861409074
2019-04-06T14:06:27Z,168507,35.4026154,-86.8807435,295.951,,161.33434158813287
2019-04-06T14:06:33Z,168507,35.4043611,-86.8807828,288.526,,193.86592215782198
2019-04-06T14:06:39Z,168507,35.4060519,-86.8801469,276.422,,196.66413383254474
2019-04-06T14:06:45Z,168507,35.4077456,-86.8794249,271.786,,199.09068937526536
2019-04-06T14:06:50Z,168507,35.4091399,-86.8788314,268.918,,163.851118881702
2019-04-06T14:06:56Z,168508,35.4108162,-86.8781274,258.545,,196.94959418759692
2019-04-06T14:07:02Z,168508,35.4125039,-86.877417,247.517,,198.36750215935484
2019-04-06T14:07:08Z,168508,35.414169,-86.8767955,240.97,,193.28989777872744
2019-04-06T14:07:14Z,168508,35.415921,-86.8766036,235.828,,195.23610889270074
2019-04-06T14:07:19Z,168508,35.4173846,-86.8768039,232.276,,163.44426820740046
2019-04-06T14:07:25Z,168508,35.4191446,-86.8771972,230.13,,198.52792922129052
2019-04-06T14:07:31Z,168508,35.4208758,-86.8775808,224.674,,195.2907855624472
2019-04-06T14:07:36Z,168508,35.4223254,-86.8778936,221.432,,163.35814762441677
2019-04-06T14:07:41Z,168508,35.4237524,-86.8781973,214.854,,160.84775866333996
2019-04-06T14:07:47Z,168509,35.425506,-86.8785731,210.716,,197.57954368483232
2019-04-06T14:07:52Z,168509,35.4269626,-86.8788738,203.662,"Reese Road, Lewisburg, Marshall County, Tennessee, 37091, USA",164.05535080632478
2019-04-06T14:07:57Z,168509,35.428418,-86.8791984,199.07,,164.2122259742956
2019-04-06T14:08:03Z,168509,35.4301674,-86.8795802,198.889,,197.17177888120494
2019-04-06T14:08:08Z,168509,35.4316138,-86.8799164,201.504,,163.38013309083803
2019-04-06T14:08:14Z,168509,35.4333619,-86.8802922,201.224,,196.93469604757718
2019-04-06T14:08:20Z,168509,35.4350936,-86.8806722,199.096,,195.2212085768042
2019-04-06T14:08:26Z,168509,35.4368393,-86.8810442,197.007,,196.6235201964948
2019-04-06T14:08:32Z,168509,35.4385801,-86.8814294,196.237,,196.2882932081642
2019-04-06T14:08:37Z,168510,35.4400275,-86.8817527,196.767,,163.25390969723995
2019-04-06T14:08:42Z,168510,35.4414729,-86.8820751,196.55,,163.0201648472904
2019-04-06T14:08:47Z,168510,35.4429191,-86.8823805,193.153,,162.8727246282752
2019-04-06T14:08:53Z,168510,35.4446587,-86.8827503,194.779,,195.91768591257983
2019-04-06T14:08:58Z,168510,35.4461143,-86.8830836,195.589,,164.31462479808468
2019-04-06T14:09:04Z,168510,35.4478593,-86.883459,195.277,,196.5889198413391
2019-04-06T14:09:10Z,168510,35.4496045,-86.8838666,194.998,,197.13844648706225
2019-04-06T14:09:16Z,168510,35.4513434,-86.8842747,196.235,,196.4640891840854
2019-04-06T14:09:22Z,168510,35.4530848,-86.884642,196.305,,196.06872311671023
2019-04-06T14:09:28Z,168511,35.4548266,-86.8850162,199.662,,196.2486242714334
2019-04-06T14:09:33Z,168511,35.4562653,-86.8853188,201.419,,161.98330557923254
2019-04-06T14:09:39Z,168511,35.458009,-86.8856239,200.946,,195.4409267931271
2019-04-06T14:09:45Z,168511,35.4597711,-86.8859071,203.931,"I 65, Bryant Station, Maury County, Tennessee, 37091, USA",197.2150650457712
2019-04-06T14:09:51Z,168511,35.4615414,-86.8861339,206.832,,197.51676417725002
2019-04-06T14:09:56Z,168511,35.4630025,-86.88634,208.323,,163.19574357956483
2019-04-06T14:10:02Z,168511,35.4647557,-86.8865806,209.181,,195.74641145412338
2019-04-06T14:10:08Z,168511,35.4665095,-86.8868029,212.254,,195.65657973640285
2019-04-06T14:10:13Z,168512,35.4679822,-86.8870027,212.632,,164.4040633601519
2019-04-06T14:10:19Z,168512,35.4697538,-86.8872259,214.574,,197.61499003824648
2019-04-06T14:10:25Z,168512,35.4715061,-86.887436,221.693,,195.48563310092624
2019-04-06T14:10:31Z,168512,35.4732886,-86.8876448,228.988,,198.81384585033393
2019-04-06T14:10:36Z,168512,35.4746992,-86.8878114,229.197,,157.23956676168592
2019-04-06T14:10:41Z,168512,35.4760055,-86.887963,230.796,,145.59872667514358
2019-04-06T14:10:47Z,168512,35.4775923,-86.8881969,231.512,,177.33742850347772
2019-04-06T14:10:52Z,168512,35.4790431,-86.8883556,228.449,,161.64325690513473
2019-04-06T14:10:58Z,168512,35.4808718,-86.8885391,227.552,,203.58468789062232
2019-04-06T14:11:04Z,168513,35.4826633,-86.8886911,224.171,,199.2797079675842
2019-04-06T14:11:09Z,168513,35.4841645,-86.888847,227.683,,167.1999205928297
2019-04-06T14:11:14Z,168513,35.4856611,-86.8890748,228.483,,167.3367351254922
2019-04-06T14:11:20Z,168513,35.4875255,-86.8892978,228.248,,207.84932108789314
2019-04-06T14:11:26Z,168513,35.4894006,-86.8894923,226.735,,208.80174700377734
2019-04-06T14:11:31Z,168513,35.4909447,-86.8896435,224.216,,171.8902935136861
2019-04-06T14:11:37Z,168513,35.4928012,-86.8898824,218.575,"SMYRNA CHURCH RD, Smyrna Church Rd, Lewisburg, Maury County, Tennessee, 37091, USA",207.199497719716
2019-04-06T14:11:43Z,168513,35.4947189,-86.8902705,213.944,,215.71964869462852
2019-04-06T14:11:49Z,168513,35.4966058,-86.8907912,211.285,,214.63943934596062
2019-04-06T14:11:54Z,168514,35.4981357,-86.891287,206.866,,175.663160766965
2019-04-06T14:12:00Z,168514,35.4999572,-86.8918635,203.596,,208.78650072249667
2019-04-06T14:12:06Z,168514,35.5017721,-86.8924636,198.674,,208.6583620954231
2019-04-06T14:12:11Z,168514,35.5032739,-86.8929618,193.251,,172.73673057828915
2019-04-06T14:12:17Z,168514,35.505108,-86.8935362,194.415,,210.0694385629534
2019-04-06T14:12:22Z,168514,35.5066179,-86.8940304,188.509,,173.52495442960128
2019-04-06T14:12:28Z,168514,35.5084308,-86.8946165,184.949,,208.08689380509034
2019-04-06T14:12:33Z,168514,35.5100248,-86.895087,186.247,,181.9419748939086
2019-04-06T14:12:39Z,168515,35.5118454,-86.8956682,189.566,,208.79576638471724
2019-04-06T14:12:45Z,168515,35.5135898,-86.8962238,190.595,,200.0048074090509
2019-04-06T14:12:50Z,168515,35.5150433,-86.8967004,190.667,,166.96564521438017
2019-04-06T14:12:56Z,168515,35.5167601,-86.8972759,189.854,,197.51093148020448
2019-04-06T14:13:02Z,168515,35.5183909,-86.897829,187.34,,187.78692466549018
2019-04-06T14:13:07Z,168515,35.5196465,-86.8982343,188.407,,144.086563349217
2019-04-06T14:13:13Z,168515,35.5211353,-86.8986532,190.697,,169.51696247087818
2019-04-06T14:13:19Z,168515,35.5227379,-86.8992253,190.274,,185.23221809882284
2019-04-06T14:13:25Z,168515,35.5245406,-86.8998238,189.938,,207.25244081349493
2019-04-06T14:13:31Z,168516,35.5263432,-86.9004024,190.823,"65, I-, Maury County, Tennessee, 38401, USA",206.77762824418787
2019-04-06T14:13:37Z,168516,35.5282185,-86.9009626,192.784,,214.19444828659223
2019-04-06T14:13:43Z,168516,35.5300409,-86.9015587,193.525,,209.30671497295776
2019-04-06T14:13:48Z,168516,35.5315248,-86.902043,194.398,,170.40500540725577
2019-04-06T14:13:54Z,168516,35.5333048,-86.9026234,198.959,,204.4434087115486
2019-04-06T14:14:00Z,168516,35.5350951,-86.9031851,203.14,,205.1116503489962
2019-04-06T14:14:06Z,168516,35.5368664,-86.9037726,196.586,,203.73253890488553
2019-04-06T14:14:11Z,168516,35.5383647,-86.9042455,193.424,,171.71420172462354
2019-04-06T14:14:17Z,168517,35.5401498,-86.9048301,186.918,,205.1395646842297
2019-04-06T14:14:22Z,168517,35.5416365,-86.9053082,178.591,,170.76086419679524
2019-04-06T14:14:28Z,168517,35.5433966,-86.9058849,172.614,,202.2590346741645
2019-04-06T14:14:33Z,168517,35.5448608,-86.9063827,169.86,,168.63574321900415
2019-04-06T14:14:38Z,168517,35.5463384,-86.9068585,169.869,,169.5273298243325
2019-04-06T14:14:44Z,168517,35.5481138,-86.9073703,169.308,,202.38087466403195
2019-04-06T14:14:50Z,168517,35.5499535,-86.9076801,172.607,,206.071773098677
2019-04-06T14:14:56Z,168517,35.5517874,-86.9077303,172.835,,203.5290386080039
2019-04-06T14:15:01Z,168518,35.5533292,-86.9075718,169.585,,171.70181976993507
2019-04-06T14:15:07Z,168518,35.5551487,-86.9073122,155.616,,203.72710949862142
2019-04-06T14:15:13Z,168518,35.5569594,-86.9070578,149.435,,202.3176454436712
2019-04-06T14:15:18Z,168518,35.558479,-86.9068643,151.135,,169.52367761127877
2019-04-06T14:15:24Z,168518,35.5603124,-86.906665,148.562,"STEPHEN RD, Stephen Rd, Maury County, Tennessee, 38401, USA",204.2392483902877
2019-04-06T14:15:29Z,168518,35.5618382,-86.9064807,147.656,,170.11780736306528
2019-04-06T14:15:34Z,168518,35.5633286,-86.9062825,152.16,,166.3995187435931
2019-04-06T14:15:39Z,168518,35.5648292,-86.9060941,154.044,,167.38139190882734
2019-04-06T14:15:45Z,168518,35.5666549,-86.9058201,154.151,,204.08546702374935
2019-04-06T14:15:51Z,168519,35.5684886,-86.905562,155.535,,204.80150469336849
2019-04-06T14:15:57Z,168519,35.5703204,-86.9052871,157.273,,204.77458981215347
2019-04-06T14:16:02Z,168519,35.5718314,-86.9050605,159.115,,168.91503368310083
2019-04-06T14:16:08Z,168519,35.5736473,-86.9047972,163.767,,202.9433571899991
2019-04-06T14:16:14Z,168519,35.5754743,-86.9045308,167.842,,204.18697453836734
2019-04-06T14:16:19Z,168519,35.5769938,-86.9043172,168.213,,169.70330559353647
2019-04-06T14:16:25Z,168519,35.578831,-86.9040625,166.738,,205.15343138419667
2019-04-06T14:16:31Z,168519,35.5806658,-86.9038054,165.906,,204.90981394598572
2019-04-06T14:16:37Z,168520,35.5824686,-86.9035506,165.86,,201.3570071043642
2019-04-06T14:16:43Z,168520,35.5842764,-86.9032934,168.915,,201.95627469618856
2019-04-06T14:16:49Z,168520,35.5861094,-86.9030306,171.841,,204.7901939731999
2019-04-06T14:16:55Z,168520,35.5879376,-86.9027695,175.662,,204.25827136457963
2019-04-06T14:17:01Z,168520,35.5897324,-86.9025087,179.055,,200.56768157857528
2019-04-06T14:17:07Z,168520,35.591569,-86.9023265,181.126,,204.45759362698826
2019-04-06T14:17:13Z,168520,35.5933967,-86.9021499,180.91,,203.42246663224213
2019-04-06T14:17:18Z,168520,35.5949215,-86.902021,175.153,"I 65, Columbia, Maury County, Tennessee, 38401, USA",169.68407591001613
2019-04-06T14:17:24Z,168521,35.5967481,-86.9018348,172.311,,203.39070115646987
2019-04-06T14:17:30Z,168521,35.5985929,-86.9016716,166.518,,205.3042316689781
2019-04-06T14:17:35Z,168521,35.6001358,-86.9015365,163.601,,171.6536466590579
2019-04-06T14:17:41Z,168521,35.6019763,-86.9013312,161.887,,205.06450821276977
2019-04-06T14:17:46Z,168521,35.6035073,-86.901177,167.287,,170.5306079015942
2019-04-06T14:17:52Z,168521,35.6053375,-86.9010249,168.067,,203.5377898457084
2019-04-06T14:17:58Z,168521,35.6071482,-86.900894,170.953,,201.27614378857464
2019-04-06T14:18:03Z,168521,35.6086658,-86.9007575,173.61,,168.85946783109205
2019-04-06T14:18:09Z,168521,35.610379,-86.900592,175.911,,190.69226527078294
2019-04-06T14:18:15Z,168522,35.612084,-86.900418,172.267,,189.86877274874382
2019-04-06T14:18:21Z,168522,35.6138306,-86.9002551,169.915,,194.36916212469956
2019-04-06T14:18:27Z,168522,35.6155997,-86.9000772,175.067,,197.01830881420312
2019-04-06T14:18:33Z,168522,35.617364,-86.8998925,171.766,,196.4994428986806
2019-04-06T14:18:39Z,168522,35.6191098,-86.899622,174.302,,195.2657455825245
2019-04-06T14:18:44Z,168522,35.6205378,-86.8993131,177.192,,160.92224180256088
2019-04-06T14:18:50Z,168522,35.6222888,-86.8988233,183.464,,199.38410278295407
2019-04-06T14:18:56Z,168522,35.6240415,-86.8982872,185.911,,200.45902767245977
2019-04-06T14:19:02Z,168523,35.6258092,-86.897722,190.345,,202.75740641697956
2019-04-06T14:19:07Z,168523,35.6273149,-86.8972723,193.927,,171.99809378755253
2019-04-06T14:19:13Z,168523,35.6291478,-86.8967079,199.767,"I 65, Columbia, Maury County, Tennessee, 38401, USA",209.78008881951308
2019-04-06T14:19:19Z,168523,35.6309397,-86.8961399,202.142,,205.38498344321906
2019-04-06T14:19:24Z,168523,35.6324324,-86.8956595,205.279,,171.27380710416088
2019-04-06T14:19:30Z,168523,35.6342086,-86.895094,207.586,,203.6410041140477
2019-04-06T14:19:36Z,168523,35.6360408,-86.8945833,209.766,,208.50149160268472
2019-04-06T14:19:42Z,168523,35.6378794,-86.8941593,200.567,,207.79070856377587
2019-04-06T14:19:47Z,168524,35.6394353,-86.8938784,193.271,,174.6532945074184
2019-04-06T14:19:53Z,168524,35.6413318,-86.8936802,190.116,,211.21538283805884
2019-04-06T14:19:59Z,168524,35.6432052,-86.8935332,191.254,,208.29348713142736
2019-04-06T14:20:05Z,168524,35.6450454,-86.8934101,196.492,,204.5521017004245
2019-04-06T14:20:10Z,168524,35.6466109,-86.8932937,196.552,,174.02104251788614
2019-04-06T14:20:16Z,168524,35.6484822,-86.8931535,189.693,,208.13260483305183
2019-04-06T14:20:22Z,168524,35.6503316,-86.8930221,189.601,,205.54648063362492
2019-04-06T14:20:28Z,168524,35.6521776,-86.8928726,192.471,,205.29159241518207
2019-04-06T14:20:33Z,168525,35.6537213,-86.8927628,194.377,,171.5816703885036
2019-04-06T14:20:39Z,168525,35.6555752,-86.8926431,201.18,,206.09915885582518
2019-04-06T14:20:44Z,168525,35.6571336,-86.8925227,201.151,,173.25746313477285
2019-04-06T14:20:50Z,168525,35.6589963,-86.8923932,196.973,,207.0525837992313
2019-04-06T14:20:56Z,168525,35.660824,-86.8922777,194.155,,203.0835647441264
2019-04-06T14:21:01Z,168525,35.6623662,-86.8921498,193.967,,171.50810659699337
2019-04-06T14:21:07Z,168525,35.6641964,-86.8920209,191.935,"I-65, I-65, Columbia, Maury County, Tennessee, 37174, USA",203.4172067202798
2019-04-06T14:21:12Z,168525,35.6657124,-86.8918468,191.112,,168.9485809089791
2019-04-06T14:21:18Z,168525,35.6675261,-86.8915002,190.372,,203.67482264998225
2019-04-06T14:21:23Z,168526,35.6690198,-86.8911607,191.032,,168.56306777766466
2019-04-06T14:21:29Z,168526,35.6708213,-86.8906896,193.183,,204.39923081565468
2019-04-06T14:21:35Z,168526,35.6726253,-86.890216,195.506,,204.7196069434006
2019-04-06T14:21:41Z,168526,35.6744271,-86.8897368,196.242,,204.5758967662584
2019-04-06T14:21:47Z,168526,35.6762352,-86.889266,193.778,,205.1129822789677
2019-04-06T14:21:53Z,168526,35.6780276,-86.8887674,196.815,,203.95926397900996
2019-04-06T14:21:58Z,168526,35.6795292,-86.8883727,199.236,,170.41809667583703
2019-04-06T14:22:04Z,168526,35.6813221,-86.8879263,204.395,,203.0628700661931
2019-04-06T14:22:10Z,168527,35.6831183,-86.8874547,208.936,,203.8723799648116
2019-04-06T14:22:16Z,168527,35.6849198,-86.8869742,208.565,,204.5669206019082
2019-04-06T14:22:21Z,168527,35.6864186,-86.8865474,210.8,,170.74563204675076
2019-04-06T14:22:27Z,168527,35.6882306,-86.886054,206.747,,205.9948160392567
2019-04-06T14:22:32Z,168527,35.6897229,-86.885642,204.276,,169.74678478349279
2019-04-06T14:22:38Z,168527,35.6915686,-86.8851335,202.393,,209.91023267216718
2019-04-06T14:22:43Z,168527,35.6931209,-86.884716,196.025,,176.4501362723028
2019-04-06T14:22:49Z,168527,35.6949656,-86.8841519,192.243,,210.9880407901187
2019-04-06T14:22:55Z,168528,35.6967364,-86.8836903,190.646,,200.88144211114763
2019-04-06T14:23:00Z,168528,35.6982464,-86.8833053,193.637,"JOE PEAY CEMETERY RD, Joe Peay Cemetery Rd, Spring Hill, Maury County, Tennessee, 37174, USA",171.1561446260421
2019-04-06T14:23:06Z,168528,35.7000487,-86.8828295,197.302,,204.59449625295017
2019-04-06T14:23:11Z,168528,35.7015423,-86.8824244,196.619,,169.73378612292143
2019-04-06T14:23:17Z,168528,35.7033426,-86.8819392,191.122,,204.59923970679563
2019-04-06T14:23:23Z,168528,35.7051224,-86.8814481,186.771,,202.46741722584437
2019-04-06T14:23:29Z,168528,35.7069067,-86.8809605,188.737,,202.847996688041
